PARAMETRES;10;8;50;OUVERTE
TYPES;H;O;C;S
COULEURS;ROUGE;VERT;BLEU;MARRON
ZONE;1;0;1;0;2;1;2;2;2;1;0;1;1;2;1;2;0;0;0
ZONE;2;0;5;1;5;2;5;3;5;4;5;5;5;6;5;7;5;8;5;8;6;7;6;6;6;5;6;4;6;3;6;2;6;1;6;0;6;3;4;4;4
ZONE;3;5;1;6;2;8;1;8;0;7;0;5;0;6;0;6;1;7;1;7;2;8;2
ZONE;4;0;4;1;4;2;4;2;3;1;3;0;3;3;3;4;3;4;1;4;0;3;0;3;1;3;2;4;2;5;2;5;3;5;4;6;4;6;3;7;3;7;4;8;4;8;3;9;3;9;0;9;1;9;2;9;4;9;5;9;6;9;7;8;7;7;7;6;7;5;7;4;7;3;7;2;7;1;7;0;7
ATOME;1;1;H
ATOME;4;2;H;ROUGE
ATOME;7;1;H
ATOME;4;5;H
ATOME;4;7;H
ATOME;6;0;O
ATOME;6;4;O
ATOME;1;6;O
ATOME;2;1;O;VERT
ATOME;8;6;O
ATOME;8;2;C;MARRON
ATOME;6;6;C
ATOME;1;3;C
ATOME;4;0;C
ATOME;9;0;S
ATOME;8;4;S
ATOME;2;5;S;BLEU
ATOME;5;1;S
